#src	how	bytes	path
hemco	exact	799189	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_mek.006.20190702.nc4
hemco	exact	799173	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_so2.006.20190702.nc4
hemco	exact	799158	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_c2h6.006.20190702.nc4
hemco	exact	799077	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_ald2.006.20190702.nc4
hemco	exact	798845	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_c3h8.006.20190702.nc4
hemco	exact	798505	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_alk4.006.20190702.nc4
extdata	exact	787769	/input/HEMCO/SOILNOX/v2014-07/soilNOx.landtype.generic.025x025.1L.nc
hemco	exact	785680	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_co2.006.20190701.nc4
hemco	exact	785423	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_co.006.20190701.nc4
hemco	exact	785042	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_oc.006.20190701.nc4
hemco	exact	784754	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_ch4.006.20190701.nc4
hemco	exact	784600	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_nh3.006.20190701.nc4
hemco	exact	784561	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_no.006.20190701.nc4
hemco	exact	784422	/input/HEMCO/QFED/v2018-07/2019/07/qfed2.emis_so2.006.20190701.nc4
